lav_0001	is̪pɑːreːjɑː t̪s̪ilvæːkt̪ies̪iːbu d̪æklɑrɑːt̪s̪ijɑ
lav_0123	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ uz̪ t̪ɑːd̪u d̪z̪iːvæs̪ liːmeŋi ies̪kɑit̪ot̪ uz̪t̪uru ɑpɟæːrbumɑːjokli med̪it̪s̪iːŋis̪kos̪ pɑkɑlpuajumus̪ uŋ vɑjɑd̪z̪iːɡo s̪ot̪s̪iɑːlua ɑpkɑlpoʃɑŋu kɑs̪ŋæpiet̪s̪ieʃɑms̪ viɲɑ uŋ viɲɑ ɟimeŋæs̪ væs̪eliːbɑs̪ uz̪t̪urʲæːʃɑŋɑi uŋ lɑbklɑːjiːbɑi uŋ t̪ies̪iːbɑs̪ uz̪n̪oːd̪rʲoːʃin̪ɑːjumu s̪ɑkɑrɑː ɑrʲ bæz̪d̪ɑrʲbu s̪limiːbu in̪vɑlid̪it̪ɑːt̪i ɑt̪rʲɑit̪n̪iːbu vet̪s̪umɑ iæs̪t̪ɑːʃɑŋos̪vɑi t̪s̪it̪oːs̪ eks̪is̪t̪æŋt̪s̪æs̪ liːd̪z̪ekʎu z̪ɑud̪eːjumu ɡɑd̪iːjumoːs̪ kɑs̪ rɑd̪uʃiæs̪ ŋua viɲɑ n̪æɑt̪kɑriːɡuɑps̪t̪ɑːkʎu d̪æːʎ
lav_0124	
lav_0125	ɑːt̪eːm uŋ bæːrʲŋiem irʲ t̪ies̪iːbɑs̪ uz̪ iːpɑʃu ɑiz̪s̪ɑrʲd̪z̪iːbu uŋ pɑliːd̪z̪iːbu
lav_0126	is̪iæm bæːrʲŋiæmlɑuliːbɑː uŋ ɑːrlɑuliːbɑː d̪z̪imuʃɑjiæm irʲ jɑːbɑud̪ɑ viæn̪ɑːd̪ɑ s̪uat̪s̪iɑːlɑː ɑiz̪s̪ɑrʲd̪z̪iːbɑ
lav_0127	
lav_0128	pɑn̪t̪s̪
lav_0129	
lav_0130	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ uz̪ iz̪ɡliːt̪iːbu
lav_0131	z̪ɡliːt̪iːbɑi vis̪mɑz̪ pɑmɑt̪ɑ uŋ vis̪pɑːrʲeːjɑiiz̪ɡliːt̪iːbɑi irʲ jɑːbuːt̪ bez̪mɑks̪ɑs̪
lav_0132	ɑmɑt̪iz̪ɡliːt̪iːbɑi irʲ jɑːbuːt̪ oːbliɡɑːt̪ɑi
lav_0133	æxn̪is̪kɑjɑi uŋprʲoːfes̪ion̪ɑːlɑjɑi iz̪ɡliːt̪iːbɑi irʲ jɑːbuːt̪ vis̪iem piæejɑmɑi uŋ ɑuɡs̪t̪ɑːkɑi iz̪ɡliːt̪iːbɑi jɑːbuːt̪viæn̪ɑːd̪i piæejɑmɑi vis̪iem ɑt̪bils̪t̪oːʃi kɑt̪rʲɑ s̪pæːjɑːm
lav_0134	
lav_0135	z̪ɡliːt̪iːbɑs̪ meːrcim jɑːbuːt̪ piln̪iːɡɑi perʲs̪oːŋiːbɑs̪ ɑt̪t̪iːs̪t̪iːbɑi uŋ t̪ɑi jɑːs̪t̪ipriŋɑ t̪s̪ilveːkt̪iæs̪iːbuuŋ pɑmɑt̪briːviːbu ievæːroʃɑn̪ɑ
lav_0136	z̪ɡliːt̪iːbɑi irʲ jɑːveit̪s̪iŋɑ s̪ɑvs̪t̪ɑrʲpæːjɑː s̪ɑprʲɑʃɑŋɑːs̪ iæt̪s̪iet̪iːbɑ uŋd̪rʲɑud̪z̪iːbɑ s̪t̪ɑrʲp vis̪ɑːm t̪ɑut̪ɑːm rʲɑs̪u uŋ rʲeliɟis̪kɑjɑːm ɡrupɑːm uŋ pvieŋuat̪o ɑːt̪s̪iju
lav_0137	rʲɡɑn̪iz̪ɑːt̪s̪ijɑs̪ d̪ɑrbiːbɑ miærɑ uz̪t̪urʲæːʃɑŋɑː
lav_0138	
lav_0139	pɑn̪t̪s̪
lav_0140	
lav_0141	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ brʲiːvi pied̪ɑliːt̪iæs̪ s̪ɑbiæd̪riːbɑs̪ kult̪uːrʲɑs̪ d̪z̪iːvæː bɑud̪iːt̪mɑːks̪lu pied̪ɑliːt̪iæs̪ z̪in̪ɑːt̪ŋes̪ prʲuaɡrʲæs̪ɑː uŋ iz̪mɑn̪t̪oːt̪ t̪ɑː lɑbumus̪
lav_0142	
lav_0143	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ uz̪ morʲɑːloː uŋ mɑt̪æriɑːlua in̪t̪eræʃu ɑiz̪s̪ɑrʲd̪z̪iːbu kɑs̪s̪ɑis̪t̪iːt̪ɑs̪ ɑrʲ z̪iŋɑːt̪ŋis̪kɑjiæm lit̪ærʲɑːrɑjiem vɑi mɑːks̪lɑs̪ d̪ɑrbiæm kuru ɑut̪uars̪ viɲʃ irʲ
lav_0144	
lav_0145	pɑn̪t̪s̪
lav_0146	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ uz̪ s̪ot̪s̪iɑːlua uŋ s̪t̪ɑrʲpt̪ɑut̪is̪kua kɑːrt̪iːbu kurɑː vɑr t̪ikt̪ pilŋiːɡirʲæɑliz̪eːt̪ɑs̪ ʃɑjɑː æklɑrɑːt̪s̪ijɑː iz̪klɑːs̪t̪iːt̪ɑːs̪ t̪ies̪iːbɑs̪ uŋ briːviːbɑs̪
lav_0147	
lav_0148	pɑn̪t̪s̪
lav_0149	
lav_0150	ɑt̪rɑm t̪s̪ilveːkɑm irʲ piæn̪ɑːkumi prʲet̪ s̪ɑbiæd̪riːbu kurɑː t̪ikɑi irʲ iæs̪peːjɑmɑ viɲɑpærʲs̪uan̪iːbɑs̪ brʲiːvɑ uŋ piln̪iːɡɑ ɑt̪t̪iːs̪t̪iːbɑ
lav_0151	
lav_0152	eɑliz̪eːjot̪ s̪ɑvɑs̪ t̪ies̪iːbɑs̪ uŋ briːviːbɑs̪ kɑt̪rʲɑm t̪s̪ilveːkɑm irʲ jɑːpɑkʎɑujɑs̪ t̪ikɑi likumɑːn̪oːt̪æikt̪iæm iæroːbeʒoːjumiæm kuru ŋoluːks̪ irʲ viæn̪iːɡi t̪s̪it̪u t̪s̪ilvæːku t̪ies̪iːbu uŋ briːviːbupiæŋɑːt̪s̪iːɡɑs̪ ɑt̪z̪iːʃɑŋɑs̪ uŋ t̪s̪iæɲɑs̪ n̪oːd̪roʃin̪ɑːjums̪ uŋ moːrɑːles̪ s̪ɑbiæd̪ris̪kɑːs̪ kɑːrt̪iːbɑs̪ un̪vis̪pɑːrʲæːjɑs̪ lɑbklɑːjiːbɑs̪ t̪ɑis̪n̪iːɡu prɑs̪iːbu ɑpmiærin̪ɑːʃɑŋɑ d̪æmoːkrʲɑːt̪is̪kɑː s̪ɑbiæd̪riːbɑː
lav_0153	
lav_0154	ua t̪ies̪iːbu uŋ briːviːbu iːs̪t̪en̪uaʃɑn̪ɑ ŋekɑːd̪ɑː z̪iɲɑː ŋæd̪riːks̪t̪ buːt̪ pret̪rʲun̪ɑː ɑrʲ pvieŋuat̪o
lav_0155	ɑːt̪s̪iju rʲɡɑn̪iz̪ɑːt̪s̪ijɑs̪ mæːrʲciæm uŋ prʲiŋt̪s̪ipiæm
lav_0156	
lav_0157	pɑn̪t̪s̪
lav_0158	ekoː ʃɑjɑː æklɑrɑːt̪s̪ijɑː ŋæd̪riːks̪t̪ iŋt̪ærʲpret̪eːt̪ t̪ɑːd̪ejɑːd̪i lɑi kɑːd̪ɑi vɑls̪t̪ij perʲs̪uaŋu ɡrupɑi vɑiɑt̪s̪eviʃcɑːm pærs̪on̪ɑːm buːt̪u t̪ies̪iːbɑs̪ jebkɑːd̪ɑː væid̪ɑː d̪ɑrʲbuat̪iæs̪ vɑi væikt̪ d̪ɑrbiːbɑs̪ kurʲumæːrcis̪ irʲ likvid̪eːt̪ ʃɑjɑː æklɑrɑːt̪s̪ijɑː iz̪klɑːs̪t̪iːt̪ɑːs̪ t̪ies̪iːbɑs̪ uŋ briːviːbɑs̪
